Incident_ID,Assigned_QR_ID,Vehicle_Number,Masked_Contact,AI_Priority_Level,Emergency_Escalation,Anonymous_Notification,Communication_Status
INC0163,QR0081,TN50AB8042,98XXXX4599,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Shop Entrance. Please respond urgently.,Notification Sent
INC0164,QR0072,TN90AB6118,98XXXX1210,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Notification Sent
INC0165,QR0114,TN54AB2076,98XXXX9231,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Residential Street.,Notification Sent
INC0166,QR0210,TN76AB9411,98XXXX6039,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Notification Sent
INC0167,QR0035,TN56AB8752,98XXXX4643,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Notification Sent
INC0168,QR0077,TN25AB2103,98XXXX6954,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Notification Sent
INC0169,QR0298,TN37AB1212,98XXXX9115,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
INC0170,QR0269,TN36AB9430,98XXXX7862,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Priority Alert Sent
INC0171,QR0120,TN98AB3188,98XXXX9872,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Notification Sent
INC0172,QR0298,TN37AB1212,98XXXX9115,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Commercial Complex.,Notification Sent
INC0173,QR0131,TN56AB7762,98XXXX4572,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
INC0174,QR0180,TN42AB9108,98XXXX7112,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Apartment Gate.,Notification Sent
INC0175,QR0214,TN86AB4368,98XXXX3577,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Pedestrian Sidewalk.,Notification Sent
INC0176,QR0170,TN27AB8200,98XXXX8146,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near School Zone. Immediate attention required.,Priority Alert Sent
INC0177,QR0148,TN37AB4137,98XXXX9227,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
INC0178,QR0278,TN44AB3784,98XXXX3648,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Notification Sent
INC0179,QR0066,TN15AB9605,98XXXX7608,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
INC0180,QR0228,TN57AB4264,98XXXX8113,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Priority Alert Sent
INC0181,QR0119,TN83AB5275,98XXXX6055,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Notification Sent
INC0182,QR0286,TN91AB7629,98XXXX3694,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Emergency Exit.,Notification Sent
INC0183,QR0026,TN11AB9593,98XXXX2079,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Commercial Complex. Please respond urgently.,Notification Sent
INC0184,QR0058,TN92AB2778,98XXXX9883,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Priority Alert Sent
INC0185,QR0016,TN44AB1129,98XXXX4949,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Notification Sent
INC0186,QR0296,TN73AB6061,98XXXX5318,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Notification Sent
INC0187,QR0209,TN67AB6530,98XXXX2320,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Traffic Junction. Immediate attention required.,Priority Alert Sent
INC0188,QR0142,TN78AB2590,98XXXX4347,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Shop Entrance. Please respond urgently.,Notification Sent
INC0189,QR0005,TN70AB3353,98XXXX5127,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Notification Sent
INC0190,QR0268,TN33AB2434,98XXXX1775,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Notification Sent
INC0191,QR0139,TN77AB1022,98XXXX2828,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Notification Sent
INC0192,QR0112,TN63AB7538,98XXXX9137,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Commercial Complex.,Notification Sent
INC0193,QR0038,TN36AB1428,98XXXX7919,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Notification Sent
INC0194,QR0164,TN17AB5617,98XXXX9960,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Apartment Gate. Immediate attention required.,Priority Alert Sent
INC0195,QR0269,TN36AB9430,98XXXX7862,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Notification Sent
INC0196,QR0234,TN84AB6841,98XXXX1689,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Notification Sent
INC0197,QR0207,TN18AB5718,98XXXX4479,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Hospital Entrance.,Notification Sent
INC0198,QR0130,TN57AB3242,98XXXX8334,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near School Zone.,Notification Sent
INC0199,QR0137,TN21AB3137,98XXXX2760,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Narrow Lane. Please respond urgently.,Notification Sent
INC0200,QR0066,TN15AB9605,98XXXX7608,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Traffic Junction. Please respond urgently.,Notification Sent
INC0201,QR0095,TN29AB8412,98XXXX7735,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Traffic Junction.,Notification Sent
INC0202,QR0006,TN85AB2209,98XXXX7403,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Notification Sent
INC0203,QR0137,TN21AB3137,98XXXX2760,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Shop Entrance. Please respond urgently.,Notification Sent
INC0204,QR0050,TN76AB9772,98XXXX6762,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Apartment Gate. Immediate attention required.,Priority Alert Sent
INC0205,QR0233,TN60AB6105,98XXXX4464,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Notification Sent
INC0206,QR0246,TN93AB5692,98XXXX3265,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Priority Alert Sent
INC0207,QR0065,TN71AB1614,98XXXX7371,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Traffic Junction. Immediate attention required.,Priority Alert Sent
INC0208,QR0228,TN57AB4264,98XXXX8113,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Notification Sent
INC0209,QR0050,TN76AB9772,98XXXX6762,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Hospital Entrance. Immediate attention required.,Priority Alert Sent
INC0210,QR0075,TN34AB4169,98XXXX5349,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Notification Sent
INC0211,QR0222,TN36AB5727,98XXXX4919,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Notification Sent
INC0212,QR0063,TN44AB3526,98XXXX5665,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Hospital Entrance. Immediate attention required.,Priority Alert Sent
INC0213,QR0168,TN94AB8095,98XXXX3134,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Notification Sent
INC0214,QR0095,TN29AB8412,98XXXX7735,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Notification Sent
INC0215,QR0101,TN54AB8368,98XXXX4128,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Notification Sent
INC0216,QR0275,TN42AB1860,98XXXX1799,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Priority Alert Sent
INC0217,QR0097,TN23AB1118,98XXXX3517,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Narrow Lane. Please respond urgently.,Notification Sent
INC0218,QR0300,TN16AB5368,98XXXX9856,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Notification Sent
INC0219,QR0025,TN89AB8292,98XXXX4090,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Apartment Gate.,Notification Sent
INC0220,QR0281,TN24AB4015,98XXXX7804,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Shop Entrance. Please respond urgently.,Notification Sent
INC0221,QR0040,TN67AB7552,98XXXX7201,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Notification Sent
INC0222,QR0103,TN18AB1408,98XXXX7603,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Notification Sent
INC0223,QR0175,TN52AB3805,98XXXX7220,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Notification Sent
INC0224,QR0204,TN10AB5306,98XXXX1207,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Traffic Junction. Please respond urgently.,Notification Sent
INC0225,QR0058,TN92AB2778,98XXXX9883,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Emergency Exit.,Notification Sent
INC0226,QR0075,TN34AB4169,98XXXX5349,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
INC0227,QR0195,TN36AB3779,98XXXX8960,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Notification Sent
INC0228,QR0182,TN89AB1511,98XXXX2358,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Commercial Complex. Immediate attention required.,Priority Alert Sent
INC0229,QR0270,TN98AB2354,98XXXX1834,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Notification Sent
INC0230,QR0194,TN26AB4758,98XXXX5346,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Notification Sent
INC0231,QR0027,TN26AB7772,98XXXX4866,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Narrow Lane.,Notification Sent
INC0232,QR0232,TN10AB9266,98XXXX5880,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Narrow Lane.,Notification Sent
INC0233,QR0124,TN45AB7525,98XXXX2304,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Residential Street.,Notification Sent
INC0234,QR0022,TN72AB7050,98XXXX5575,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Traffic Junction. Immediate attention required.,Priority Alert Sent
INC0235,QR0206,TN50AB7725,98XXXX3129,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Notification Sent
INC0236,QR0158,TN98AB4282,98XXXX9359,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Notification Sent
INC0237,QR0189,TN22AB7877,98XXXX9549,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Hospital Entrance. Immediate attention required.,Priority Alert Sent
INC0238,QR0026,TN11AB9593,98XXXX2079,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Apartment Gate.,Notification Sent
INC0239,QR0247,TN22AB8092,98XXXX7726,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
INC0240,QR0244,TN84AB5249,98XXXX9275,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Narrow Lane. Please respond urgently.,Notification Sent
INC0241,QR0020,TN55AB5357,98XXXX4086,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Notification Sent
INC0242,QR0194,TN26AB4758,98XXXX5346,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Notification Sent
INC0243,QR0002,TN15AB8007,98XXXX6904,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Notification Sent
INC0244,QR0004,TN31AB9962,98XXXX5910,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Notification Sent
INC0245,QR0189,TN22AB7877,98XXXX9549,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Shop Entrance.,Notification Sent
INC0246,QR0141,TN62AB5071,98XXXX3870,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Narrow Lane.,Notification Sent
INC0247,QR0145,TN51AB6070,98XXXX3998,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Apartment Gate. Immediate attention required.,Priority Alert Sent
INC0248,QR0225,TN10AB8173,98XXXX9105,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Notification Sent
INC0249,QR0269,TN36AB9430,98XXXX7862,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Narrow Lane.,Notification Sent
INC0250,QR0237,TN35AB5148,98XXXX6210,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Shop Entrance. Please respond urgently.,Notification Sent
INC0251,QR0279,TN19AB3196,98XXXX6226,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Traffic Junction.,Notification Sent
INC0252,QR0197,TN60AB1972,98XXXX2236,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Notification Sent
INC0253,QR0067,TN70AB3121,98XXXX1086,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Notification Sent
INC0254,QR0250,TN94AB5809,98XXXX7088,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Shop Entrance. Please respond urgently.,Notification Sent
INC0255,QR0041,TN60AB2782,98XXXX6165,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Notification Sent
INC0256,QR0190,TN94AB4134,98XXXX4402,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Apartment Gate.,Notification Sent
INC0257,QR0232,TN10AB9266,98XXXX5880,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
INC0258,QR0084,TN83AB1105,98XXXX4543,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Residential Street.,Notification Sent
INC0259,QR0184,TN49AB5057,98XXXX3065,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Shop Entrance.,Notification Sent
INC0260,QR0275,TN42AB1860,98XXXX1799,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
INC0261,QR0146,TN39AB8432,98XXXX2866,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Priority Alert Sent
INC0262,QR0076,TN37AB6560,98XXXX4107,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
INC0263,QR0018,TN54AB1346,98XXXX6937,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Traffic Junction. Please respond urgently.,Notification Sent
INC0264,QR0206,TN50AB7725,98XXXX3129,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Pedestrian Sidewalk.,Notification Sent
INC0265,QR0237,TN35AB5148,98XXXX6210,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Notification Sent
INC0266,QR0207,TN18AB5718,98XXXX4479,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Commercial Complex.,Notification Sent
INC0267,QR0224,TN15AB3995,98XXXX4919,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
INC0268,QR0105,TN85AB2594,98XXXX1897,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Commercial Complex.,Notification Sent
INC0269,QR0071,TN62AB6588,98XXXX6723,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Notification Sent
INC0270,QR0258,TN23AB7236,98XXXX2334,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Notification Sent
INC0271,QR0252,TN82AB8357,98XXXX4448,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Residential Street.,Notification Sent
INC0272,QR0164,TN17AB5617,98XXXX9960,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Notification Sent
INC0273,QR0013,TN67AB3051,98XXXX4960,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Hospital Entrance.,Notification Sent
INC0274,QR0184,TN49AB5057,98XXXX3065,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Pedestrian Sidewalk.,Notification Sent
INC0275,QR0162,TN49AB6841,98XXXX2894,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Traffic Junction. Please respond urgently.,Notification Sent
INC0276,QR0024,TN26AB5602,98XXXX1452,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Shop Entrance.,Notification Sent
INC0277,QR0185,TN42AB2135,98XXXX9291,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near School Zone. Immediate attention required.,Priority Alert Sent
INC0278,QR0191,TN62AB3533,98XXXX2680,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Traffic Junction. Please respond urgently.,Notification Sent
INC0279,QR0242,TN54AB6015,98XXXX3267,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near School Zone. Immediate attention required.,Priority Alert Sent
INC0280,QR0300,TN16AB5368,98XXXX9856,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Notification Sent
INC0281,QR0259,TN60AB8385,98XXXX4852,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Apartment Gate. Immediate attention required.,Priority Alert Sent
INC0282,QR0211,TN83AB8622,98XXXX7151,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Notification Sent
INC0283,QR0202,TN39AB9108,98XXXX7917,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Narrow Lane. Please respond urgently.,Notification Sent
INC0284,QR0216,TN77AB3090,98XXXX7614,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Residential Street.,Notification Sent
INC0285,QR0159,TN80AB5194,98XXXX9649,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Notification Sent
INC0286,QR0287,TN76AB6604,98XXXX2852,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
INC0287,QR0228,TN57AB4264,98XXXX8113,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Narrow Lane.,Notification Sent
INC0288,QR0027,TN26AB7772,98XXXX4866,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Commercial Complex.,Notification Sent
INC0289,QR0034,TN87AB9357,98XXXX2834,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Apartment Gate. Immediate attention required.,Priority Alert Sent
INC0290,QR0268,TN33AB2434,98XXXX1775,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Notification Sent
INC0291,QR0008,TN62AB8550,98XXXX9210,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Shop Entrance.,Notification Sent
INC0292,QR0127,TN38AB9012,98XXXX8876,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Residential Street.,Notification Sent
INC0293,QR0220,TN71AB7811,98XXXX6750,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near School Zone. Immediate attention required.,Priority Alert Sent
INC0294,QR0248,TN69AB1977,98XXXX6140,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Pedestrian Sidewalk.,Notification Sent
INC0295,QR0259,TN60AB8385,98XXXX4852,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
INC0296,QR0111,TN92AB6114,98XXXX2834,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Notification Sent
INC0297,QR0250,TN94AB5809,98XXXX7088,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Narrow Lane.,Notification Sent
INC0298,QR0036,TN83AB7532,98XXXX3853,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near School Zone. Immediate attention required.,Priority Alert Sent
INC0299,QR0209,TN67AB6530,98XXXX2320,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Shop Entrance.,Notification Sent
INC0300,QR0034,TN87AB9357,98XXXX2834,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
INC0301,QR0078,TN56AB4422,98XXXX8978,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Commercial Complex.,Notification Sent
INC0302,QR0249,TN18AB3564,98XXXX7681,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near School Zone. Immediate attention required.,Priority Alert Sent
INC0303,QR0220,TN71AB7811,98XXXX6750,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Notification Sent
INC0304,QR0239,TN76AB4962,98XXXX8339,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Notification Sent
INC0305,QR0097,TN23AB1118,98XXXX3517,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Notification Sent
INC0306,QR0295,TN74AB9579,98XXXX1758,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Notification Sent
INC0307,QR0089,TN30AB9983,98XXXX6381,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Notification Sent
INC0308,QR0181,TN45AB5940,98XXXX7343,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Notification Sent
INC0309,QR0194,TN26AB4758,98XXXX5346,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Notification Sent
INC0310,QR0196,TN62AB8234,98XXXX7852,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Residential Street.,Notification Sent
INC0311,QR0267,TN79AB5788,98XXXX2787,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Notification Sent
INC0312,QR0280,TN41AB6448,98XXXX3198,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Apartment Gate. Immediate attention required.,Priority Alert Sent
INC0313,QR0255,TN18AB1695,98XXXX5749,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near School Zone. Immediate attention required.,Priority Alert Sent
INC0314,QR0043,TN91AB8366,98XXXX9541,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Notification Sent
INC0315,QR0239,TN76AB4962,98XXXX8339,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Notification Sent
INC0316,QR0210,TN76AB9411,98XXXX6039,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Commercial Complex. Please respond urgently.,Notification Sent
INC0317,QR0161,TN71AB5769,98XXXX1003,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Narrow Lane.,Notification Sent
INC0318,QR0165,TN11AB5774,98XXXX7991,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near School Zone. Immediate attention required.,Priority Alert Sent
INC0319,QR0205,TN90AB1427,98XXXX2962,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Residential Street.,Notification Sent
INC0320,QR0108,TN75AB2096,98XXXX4266,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Notification Sent
INC0321,QR0297,TN59AB7073,98XXXX8124,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Residential Street.,Notification Sent
INC0322,QR0012,TN10AB7842,98XXXX8679,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Notification Sent
INC0323,QR0188,TN64AB3375,98XXXX6117,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near School Zone. Immediate attention required.,Priority Alert Sent
INC0324,QR0194,TN26AB4758,98XXXX5346,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
