Incident_ID,Vehicle_Type,Location,City,Obstruction_Type,Emergency_Status,Severity_Level,Reported_Time,Priority_Score,AI_Priority_Level,Recommended_Action,Assigned_QR_ID,Urban_Risk_Score,Governance_Risk_Level,Estimated_Response_Time,Assigned_Authority,Governance_Recommendation
INC0102,Two Wheeler,Shop Entrance,Mumbai,Commercial Entrance Blocked,No,Medium,2026-05-23 04:48:55.448095,40,Low Priority,Low urgency monitoring,QR0097,20,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0103,Two Wheeler,Hospital Entrance,Hyderabad,Emergency Access Blocked,Yes,Critical,2026-05-25 09:40:55.448100,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0276,120,Critical Governance Zone,Immediate Response,Emergency Medical Access Authority,Immediate enforcement and emergency clearance required.
INC0104,Car,Residential Street,Delhi,Emergency Access Blocked,Yes,Critical,2026-05-25 09:00:55.448104,100,High Priority,Urgent owner notification required,QR0045,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0105,Car,Apartment Gate,Delhi,Illegal Parking,No,Low,2026-05-26 06:07:55.448109,45,Low Priority,Low urgency monitoring,QR0221,10,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0106,Van,School Zone,Mumbai,Illegal Parking,No,Low,2026-05-26 15:27:55.448114,65,Medium Priority,Standard obstruction resolution workflow,QR0134,35,Low Risk Zone,Routine Monitoring,School Safety Traffic Division,Routine monitoring sufficient.
INC0107,Two Wheeler,Residential Street,Hyderabad,Pedestrian Path Obstructed,Yes,Critical,2026-05-23 15:48:55.448118,100,High Priority,Urgent owner notification required,QR0185,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0108,Two Wheeler,Residential Street,Hyderabad,Gate Blockage,No,Medium,2026-05-22 20:15:55.448123,40,Low Priority,Low urgency monitoring,QR0231,40,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0109,Mini Truck,Residential Street,Bangalore,Roadside Congestion,No,Low,2026-05-21 09:56:55.448128,25,Low Priority,Low urgency monitoring,QR0026,10,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0110,Mini Truck,Commercial Complex,Bangalore,Commercial Entrance Blocked,No,Medium,2026-05-22 07:05:55.448133,60,Medium Priority,Standard obstruction resolution workflow,QR0181,20,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0111,Taxi,Shop Entrance,Pune,Roadside Congestion,Yes,Critical,2026-05-23 20:29:55.448137,70,Medium Priority,Standard obstruction resolution workflow,QR0114,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0112,Mini Truck,Apartment Gate,Delhi,Illegal Parking,Yes,Critical,2026-05-26 13:00:55.448142,90,High Priority,Urgent owner notification required,QR0111,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0113,Two Wheeler,School Zone,Bangalore,Roadside Congestion,Yes,Critical,2026-05-23 10:41:55.448147,110,High Priority,Urgent owner notification required,QR0186,100,Critical Governance Zone,Immediate Response,School Safety Traffic Division,Immediate enforcement and emergency clearance required.
INC0114,Mini Truck,Shop Entrance,Chennai,Pedestrian Path Obstructed,No,Low,2026-05-25 11:47:55.448151,55,Medium Priority,Standard obstruction resolution workflow,QR0182,30,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0115,Mini Truck,Narrow Lane,Hyderabad,Gate Blockage,No,Medium,2026-05-26 02:50:55.448156,40,Low Priority,Low urgency monitoring,QR0042,40,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0116,Van,Narrow Lane,Hyderabad,Pedestrian Path Obstructed,Yes,Critical,2026-05-22 03:37:55.448160,100,High Priority,Urgent owner notification required,QR0172,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0117,Two Wheeler,Traffic Junction,Bangalore,Commercial Entrance Blocked,Yes,Critical,2026-05-22 19:52:55.448165,105,High Priority,Urgent owner notification required,QR0124,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0118,Car,Pedestrian Sidewalk,Mumbai,Pedestrian Path Obstructed,Yes,Critical,2026-05-26 11:27:55.448214,100,High Priority,Urgent owner notification required,QR0223,120,Critical Governance Zone,Immediate Response,Urban Pedestrian Safety Authority,Immediate enforcement and emergency clearance required.
INC0119,Taxi,Apartment Gate,Chennai,Gate Blockage,Yes,Critical,2026-05-27 02:02:55.448223,105,High Priority,Urgent owner notification required,QR0063,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0120,Auto Rickshaw,Hospital Entrance,Mumbai,Gate Blockage,No,Critical,2026-05-25 12:59:55.448233,80,High Priority,Urgent owner notification required,QR0122,80,High Monitoring Zone,Within 30 Minutes,Emergency Medical Access Authority,Continuous monitoring and owner notification required.
INC0121,Taxi,Narrow Lane,Bangalore,Gate Blockage,No,Medium,2026-05-24 13:49:55.448243,40,Low Priority,Low urgency monitoring,QR0236,40,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0122,Car,Apartment Gate,Mumbai,Gate Blockage,Yes,Critical,2026-05-25 23:21:55.448248,105,High Priority,Urgent owner notification required,QR0262,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0123,Mini Truck,Apartment Gate,Hyderabad,Emergency Access Blocked,Yes,Critical,2026-05-24 00:01:55.448253,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0300,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0124,Mini Truck,Traffic Junction,Bangalore,Emergency Access Blocked,Yes,Critical,2026-05-22 14:49:55.448257,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0132,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0125,Two Wheeler,Shop Entrance,Chennai,Roadside Congestion,Yes,Critical,2026-05-21 10:21:55.448262,70,Medium Priority,Standard obstruction resolution workflow,QR0065,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0126,Auto Rickshaw,Apartment Gate,Bangalore,Pedestrian Path Obstructed,Yes,Critical,2026-05-25 17:41:55.448267,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0015,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0127,Car,School Zone,Mumbai,Emergency Access Blocked,No,Critical,2026-05-22 08:16:55.448271,95,High Priority,Urgent owner notification required,QR0241,80,High Monitoring Zone,Within 30 Minutes,School Safety Traffic Division,Continuous monitoring and owner notification required.
INC0128,Auto Rickshaw,Residential Street,Pune,Illegal Parking,Yes,Critical,2026-05-23 07:25:55.448276,70,Medium Priority,Standard obstruction resolution workflow,QR0271,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0129,Car,Apartment Gate,Delhi,Gate Blockage,No,Medium,2026-05-24 15:12:55.448280,60,Medium Priority,Standard obstruction resolution workflow,QR0168,40,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0130,Car,Apartment Gate,Chennai,Pedestrian Path Obstructed,Yes,Critical,2026-05-23 14:10:55.448285,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0086,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0131,Two Wheeler,School Zone,Delhi,Emergency Access Blocked,No,Critical,2026-05-25 04:47:55.448290,95,High Priority,Urgent owner notification required,QR0085,80,High Monitoring Zone,Within 30 Minutes,School Safety Traffic Division,Continuous monitoring and owner notification required.
INC0132,Taxi,Hospital Entrance,Pune,Commercial Entrance Blocked,Yes,Critical,2026-05-22 14:29:55.448295,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0044,100,Critical Governance Zone,Immediate Response,Emergency Medical Access Authority,Immediate enforcement and emergency clearance required.
INC0133,Van,Traffic Junction,Pune,Emergency Access Blocked,No,Critical,2026-05-26 22:38:55.448299,75,Medium Priority,Standard obstruction resolution workflow,QR0053,55,Moderate Risk Zone,Within 2 Hours,Municipal Traffic Management Authority,Standard obstruction resolution workflow recommended.
INC0134,Two Wheeler,Traffic Junction,Pune,Pedestrian Path Obstructed,No,Low,2026-05-27 11:46:55.448304,75,Medium Priority,Standard obstruction resolution workflow,QR0199,30,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0135,Van,Pedestrian Sidewalk,Kochi,Gate Blockage,Yes,Critical,2026-05-24 11:55:55.448308,85,High Priority,Urgent owner notification required,QR0042,120,Critical Governance Zone,Immediate Response,Urban Pedestrian Safety Authority,Immediate enforcement and emergency clearance required.
INC0136,Two Wheeler,Hospital Entrance,Mumbai,Gate Blockage,Yes,Critical,2026-05-26 12:27:55.448313,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0201,120,Critical Governance Zone,Immediate Response,Emergency Medical Access Authority,Immediate enforcement and emergency clearance required.
INC0137,Mini Truck,Commercial Complex,Chennai,Roadside Congestion,Yes,Critical,2026-05-27 10:56:55.448318,90,High Priority,Urgent owner notification required,QR0051,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0138,Auto Rickshaw,School Zone,Hyderabad,Pedestrian Path Obstructed,No,Low,2026-05-27 03:46:55.448322,95,High Priority,Urgent owner notification required,QR0036,55,Moderate Risk Zone,Within 2 Hours,School Safety Traffic Division,Standard obstruction resolution workflow recommended.
INC0139,Two Wheeler,Traffic Junction,Mumbai,Pedestrian Path Obstructed,Yes,Critical,2026-05-26 15:52:55.448330,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0074,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0140,Car,Commercial Complex,Hyderabad,Illegal Parking,No,Low,2026-05-27 10:00:55.448335,45,Low Priority,Low urgency monitoring,QR0203,10,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0141,Taxi,Shop Entrance,Kochi,Emergency Access Blocked,Yes,Critical,2026-05-24 05:13:55.448341,100,High Priority,Urgent owner notification required,QR0167,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0142,Two Wheeler,Residential Street,Pune,Emergency Access Blocked,No,Critical,2026-05-26 08:32:55.448345,55,Medium Priority,Standard obstruction resolution workflow,QR0103,55,Moderate Risk Zone,Within 2 Hours,Municipal Traffic Management Authority,Standard obstruction resolution workflow recommended.
INC0143,Two Wheeler,Emergency Exit,Kochi,Commercial Entrance Blocked,No,Critical,2026-05-22 01:13:55.448350,80,High Priority,Urgent owner notification required,QR0271,60,Moderate Risk Zone,Within 2 Hours,Disaster Response Control Unit,Standard obstruction resolution workflow recommended.
INC0144,Auto Rickshaw,Pedestrian Sidewalk,Chennai,Pedestrian Path Obstructed,No,Low,2026-05-25 15:02:55.448355,55,Medium Priority,Standard obstruction resolution workflow,QR0082,55,Moderate Risk Zone,Within 2 Hours,Urban Pedestrian Safety Authority,Standard obstruction resolution workflow recommended.
INC0145,Two Wheeler,Commercial Complex,Pune,Gate Blockage,Yes,Critical,2026-05-27 10:35:55.448359,105,High Priority,Urgent owner notification required,QR0115,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0146,Van,Narrow Lane,Mumbai,Emergency Access Blocked,No,Critical,2026-05-25 16:12:55.448364,55,Medium Priority,Standard obstruction resolution workflow,QR0020,55,Moderate Risk Zone,Within 2 Hours,Municipal Traffic Management Authority,Standard obstruction resolution workflow recommended.
INC0147,Car,Narrow Lane,Delhi,Emergency Access Blocked,No,Critical,2026-05-26 23:37:55.448369,55,Medium Priority,Standard obstruction resolution workflow,QR0258,55,Moderate Risk Zone,Within 2 Hours,Municipal Traffic Management Authority,Standard obstruction resolution workflow recommended.
INC0148,Van,Shop Entrance,Mumbai,Pedestrian Path Obstructed,No,Low,2026-05-21 22:59:55.448374,55,Medium Priority,Standard obstruction resolution workflow,QR0171,30,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0149,Two Wheeler,Commercial Complex,Delhi,Gate Blockage,Yes,Critical,2026-05-22 06:17:55.448378,105,High Priority,Urgent owner notification required,QR0280,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0150,Mini Truck,Shop Entrance,Kochi,Pedestrian Path Obstructed,Yes,Critical,2026-05-26 17:49:55.448385,100,High Priority,Urgent owner notification required,QR0017,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0151,Van,Residential Street,Kochi,Pedestrian Path Obstructed,Yes,Critical,2026-05-23 08:30:55.448390,100,High Priority,Urgent owner notification required,QR0001,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0152,Auto Rickshaw,Pedestrian Sidewalk,Chennai,Illegal Parking,No,Low,2026-05-21 16:55:55.448395,25,Low Priority,Low urgency monitoring,QR0261,35,Low Risk Zone,Routine Monitoring,Urban Pedestrian Safety Authority,Routine monitoring sufficient.
INC0153,Mini Truck,School Zone,Chennai,Commercial Entrance Blocked,Yes,Critical,2026-05-22 05:00:55.448399,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0276,100,Critical Governance Zone,Immediate Response,School Safety Traffic Division,Immediate enforcement and emergency clearance required.
INC0154,Two Wheeler,Narrow Lane,Hyderabad,Commercial Entrance Blocked,No,Medium,2026-05-23 10:14:55.448404,40,Low Priority,Low urgency monitoring,QR0275,20,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0155,Car,Residential Street,Pune,Illegal Parking,Yes,Critical,2026-05-24 05:21:55.448409,70,Medium Priority,Standard obstruction resolution workflow,QR0163,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0156,Mini Truck,School Zone,Hyderabad,Gate Blockage,No,Medium,2026-05-24 13:42:55.448413,80,High Priority,Urgent owner notification required,QR0188,65,Moderate Risk Zone,Within 2 Hours,School Safety Traffic Division,Standard obstruction resolution workflow recommended.
INC0157,Two Wheeler,School Zone,Chennai,Gate Blockage,No,Medium,2026-05-25 02:58:55.448418,80,High Priority,Urgent owner notification required,QR0217,65,Moderate Risk Zone,Within 2 Hours,School Safety Traffic Division,Standard obstruction resolution workflow recommended.
INC0158,Van,Narrow Lane,Pune,Illegal Parking,No,Low,2026-05-25 15:11:55.448423,25,Low Priority,Low urgency monitoring,QR0227,10,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0159,Mini Truck,Pedestrian Sidewalk,Kochi,Gate Blockage,Yes,Critical,2026-05-24 20:13:55.448428,85,High Priority,Urgent owner notification required,QR0014,120,Critical Governance Zone,Immediate Response,Urban Pedestrian Safety Authority,Immediate enforcement and emergency clearance required.
INC0160,Taxi,Residential Street,Hyderabad,Roadside Congestion,No,Low,2026-05-25 14:33:55.448432,25,Low Priority,Low urgency monitoring,QR0039,10,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0161,Taxi,Pedestrian Sidewalk,Pune,Commercial Entrance Blocked,Yes,Critical,2026-05-24 16:27:55.448437,85,High Priority,Urgent owner notification required,QR0067,100,Critical Governance Zone,Immediate Response,Urban Pedestrian Safety Authority,Immediate enforcement and emergency clearance required.
INC0162,Taxi,Apartment Gate,Pune,Roadside Congestion,No,Low,2026-05-21 12:59:55.448442,45,Low Priority,Low urgency monitoring,QR0050,10,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0163,Mini Truck,Shop Entrance,Bangalore,Commercial Entrance Blocked,Yes,Critical,2026-05-21 17:37:55.448446,85,High Priority,Urgent owner notification required,QR0081,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0164,Taxi,Residential Street,Hyderabad,Emergency Access Blocked,Yes,Critical,2026-05-27 06:53:55.448451,100,High Priority,Urgent owner notification required,QR0072,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0165,Car,Residential Street,Delhi,Illegal Parking,Yes,Critical,2026-05-21 09:09:55.448456,70,Medium Priority,Standard obstruction resolution workflow,QR0114,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0166,Auto Rickshaw,Hospital Entrance,Kochi,Illegal Parking,Yes,Critical,2026-05-21 20:25:55.448460,110,High Priority,Urgent owner notification required,QR0210,100,Critical Governance Zone,Immediate Response,Emergency Medical Access Authority,Immediate enforcement and emergency clearance required.
INC0167,Taxi,Shop Entrance,Kochi,Emergency Access Blocked,No,Critical,2026-05-25 18:47:55.448465,55,Medium Priority,Standard obstruction resolution workflow,QR0035,55,Moderate Risk Zone,Within 2 Hours,Municipal Traffic Management Authority,Standard obstruction resolution workflow recommended.
INC0168,Van,School Zone,Kochi,Commercial Entrance Blocked,No,Medium,2026-05-23 15:21:55.448469,80,High Priority,Urgent owner notification required,QR0077,45,Low Risk Zone,Routine Monitoring,School Safety Traffic Division,Routine monitoring sufficient.
INC0169,Mini Truck,Emergency Exit,Kochi,Gate Blockage,No,Critical,2026-05-24 17:41:55.448474,80,High Priority,Urgent owner notification required,QR0298,80,High Monitoring Zone,Within 30 Minutes,Disaster Response Control Unit,Continuous monitoring and owner notification required.
INC0170,Car,Emergency Exit,Chennai,Emergency Access Blocked,Yes,Critical,2026-05-21 01:45:55.448479,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0269,120,Critical Governance Zone,Immediate Response,Disaster Response Control Unit,Immediate enforcement and emergency clearance required.
INC0171,Auto Rickshaw,Pedestrian Sidewalk,Chennai,Roadside Congestion,Yes,Critical,2026-05-20 19:25:55.448483,70,Medium Priority,Standard obstruction resolution workflow,QR0120,100,Critical Governance Zone,Immediate Response,Urban Pedestrian Safety Authority,Immediate enforcement and emergency clearance required.
INC0172,Car,Commercial Complex,Chennai,Pedestrian Path Obstructed,No,Low,2026-05-21 09:08:55.448488,75,Medium Priority,Standard obstruction resolution workflow,QR0298,30,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0173,Van,Emergency Exit,Bangalore,Pedestrian Path Obstructed,No,Critical,2026-05-24 10:27:55.448492,95,High Priority,Urgent owner notification required,QR0131,80,High Monitoring Zone,Within 30 Minutes,Disaster Response Control Unit,Continuous monitoring and owner notification required.
INC0174,Taxi,Apartment Gate,Pune,Commercial Entrance Blocked,No,Medium,2026-05-24 08:28:55.448497,60,Medium Priority,Standard obstruction resolution workflow,QR0180,20,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0175,Mini Truck,Pedestrian Sidewalk,Chennai,Illegal Parking,No,Low,2026-05-24 06:06:55.448502,25,Low Priority,Low urgency monitoring,QR0214,35,Low Risk Zone,Routine Monitoring,Urban Pedestrian Safety Authority,Routine monitoring sufficient.
INC0176,Van,School Zone,Chennai,Commercial Entrance Blocked,Yes,Critical,2026-05-22 01:05:55.448506,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0170,100,Critical Governance Zone,Immediate Response,School Safety Traffic Division,Immediate enforcement and emergency clearance required.
INC0177,Van,Emergency Exit,Bangalore,Emergency Access Blocked,No,Critical,2026-05-25 11:31:55.448511,95,High Priority,Urgent owner notification required,QR0148,80,High Monitoring Zone,Within 30 Minutes,Disaster Response Control Unit,Continuous monitoring and owner notification required.
INC0178,Van,Traffic Junction,Chennai,Gate Blockage,No,Medium,2026-05-26 09:43:55.448515,60,Medium Priority,Standard obstruction resolution workflow,QR0278,40,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0179,Car,Emergency Exit,Hyderabad,Emergency Access Blocked,No,Critical,2026-05-25 17:30:55.448520,95,High Priority,Urgent owner notification required,QR0066,80,High Monitoring Zone,Within 30 Minutes,Disaster Response Control Unit,Continuous monitoring and owner notification required.
INC0180,Mini Truck,Emergency Exit,Bangalore,Commercial Entrance Blocked,Yes,Critical,2026-05-27 08:10:55.448525,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0228,100,Critical Governance Zone,Immediate Response,Disaster Response Control Unit,Immediate enforcement and emergency clearance required.
INC0181,Car,School Zone,Bangalore,Emergency Access Blocked,No,Critical,2026-05-26 17:59:55.448531,95,High Priority,Urgent owner notification required,QR0119,80,High Monitoring Zone,Within 30 Minutes,School Safety Traffic Division,Continuous monitoring and owner notification required.
INC0182,Auto Rickshaw,Emergency Exit,Hyderabad,Illegal Parking,No,Critical,2026-05-26 09:55:55.448537,65,Medium Priority,Standard obstruction resolution workflow,QR0286,60,Moderate Risk Zone,Within 2 Hours,Disaster Response Control Unit,Standard obstruction resolution workflow recommended.
INC0183,Car,Commercial Complex,Mumbai,Illegal Parking,Yes,Critical,2026-05-26 01:48:55.448542,90,High Priority,Urgent owner notification required,QR0026,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0184,Mini Truck,Emergency Exit,Hyderabad,Gate Blockage,Yes,Critical,2026-05-24 17:44:55.448547,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0058,120,Critical Governance Zone,Immediate Response,Disaster Response Control Unit,Immediate enforcement and emergency clearance required.
INC0185,Taxi,Shop Entrance,Kochi,Illegal Parking,Yes,Critical,2026-05-26 18:32:55.448552,70,Medium Priority,Standard obstruction resolution workflow,QR0016,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0186,Taxi,Shop Entrance,Hyderabad,Roadside Congestion,Yes,Critical,2026-05-26 20:03:55.448556,70,Medium Priority,Standard obstruction resolution workflow,QR0296,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0187,Mini Truck,Traffic Junction,Delhi,Pedestrian Path Obstructed,Yes,Critical,2026-05-24 18:45:55.448561,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0209,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0188,Car,Shop Entrance,Pune,Gate Blockage,Yes,Critical,2026-05-21 20:22:55.448571,85,High Priority,Urgent owner notification required,QR0142,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0189,Van,Apartment Gate,Hyderabad,Gate Blockage,Yes,Critical,2026-05-27 11:52:55.448576,105,High Priority,Urgent owner notification required,QR0005,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0190,Two Wheeler,Apartment Gate,Kochi,Commercial Entrance Blocked,Yes,Critical,2026-05-20 23:08:55.448581,105,High Priority,Urgent owner notification required,QR0268,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0191,Mini Truck,Pedestrian Sidewalk,Bangalore,Gate Blockage,Yes,Critical,2026-05-25 02:34:55.448585,85,High Priority,Urgent owner notification required,QR0139,120,Critical Governance Zone,Immediate Response,Urban Pedestrian Safety Authority,Immediate enforcement and emergency clearance required.
INC0192,Van,Commercial Complex,Pune,Illegal Parking,No,Low,2026-05-25 16:54:55.448590,45,Low Priority,Low urgency monitoring,QR0112,10,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0193,Car,Residential Street,Mumbai,Commercial Entrance Blocked,Yes,Critical,2026-05-27 11:19:55.448594,85,High Priority,Urgent owner notification required,QR0038,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0194,Two Wheeler,Apartment Gate,Delhi,Emergency Access Blocked,Yes,Critical,2026-05-27 00:11:55.448599,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0164,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0195,Taxi,School Zone,Hyderabad,Emergency Access Blocked,No,Critical,2026-05-24 14:05:55.448604,95,High Priority,Urgent owner notification required,QR0269,80,High Monitoring Zone,Within 30 Minutes,School Safety Traffic Division,Continuous monitoring and owner notification required.
INC0196,Taxi,School Zone,Hyderabad,Illegal Parking,Yes,Critical,2026-05-25 07:10:55.448608,110,High Priority,Urgent owner notification required,QR0234,100,Critical Governance Zone,Immediate Response,School Safety Traffic Division,Immediate enforcement and emergency clearance required.
INC0197,Auto Rickshaw,Hospital Entrance,Chennai,Roadside Congestion,No,Critical,2026-05-27 14:03:55.448613,65,Medium Priority,Standard obstruction resolution workflow,QR0207,60,Moderate Risk Zone,Within 2 Hours,Emergency Medical Access Authority,Standard obstruction resolution workflow recommended.
INC0198,Two Wheeler,School Zone,Kochi,Illegal Parking,No,Low,2026-05-26 09:33:55.448617,65,Medium Priority,Standard obstruction resolution workflow,QR0130,35,Low Risk Zone,Routine Monitoring,School Safety Traffic Division,Routine monitoring sufficient.
INC0199,Car,Narrow Lane,Mumbai,Pedestrian Path Obstructed,Yes,Critical,2026-05-22 21:17:55.448622,100,High Priority,Urgent owner notification required,QR0137,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0200,Taxi,Traffic Junction,Mumbai,Illegal Parking,Yes,Critical,2026-05-22 03:53:55.448627,90,High Priority,Urgent owner notification required,QR0066,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0201,Car,Traffic Junction,Kochi,Illegal Parking,No,Low,2026-05-27 04:49:55.448631,45,Low Priority,Low urgency monitoring,QR0095,10,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0202,Mini Truck,Hospital Entrance,Chennai,Pedestrian Path Obstructed,No,Critical,2026-05-25 20:39:55.448636,95,High Priority,Urgent owner notification required,QR0006,80,High Monitoring Zone,Within 30 Minutes,Emergency Medical Access Authority,Continuous monitoring and owner notification required.
INC0203,Van,Shop Entrance,Bangalore,Pedestrian Path Obstructed,Yes,Critical,2026-05-24 09:00:55.448641,100,High Priority,Urgent owner notification required,QR0137,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0204,Car,Apartment Gate,Kochi,Emergency Access Blocked,Yes,Critical,2026-05-21 03:09:55.448646,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0050,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
